Preprocessed Review,Sentiment
game absolute garbage amus week twobut youl start notice flaw hacker ramp anticheat on ban hand riot shield ridiculou abus 3rd person view ridiculou abus snip rifl far superior every oth weapon any combat situ abus spawn point not vary not uncommon player spawn top eachoth also not uncommon server fil spawn camper people literal camp spawn point just fuck stuf shadow nightday cycle not fluid shadow just sudden chang mak graphic annoy bullet fir range almost no damage excep snip rifl instancei shot head assault rifle pretty dec range took away 2 health go prone crouch mak same amount no run sprint just plain dumb weapon spread stupid skil marksman can make weapon such m4 m16 fire much more accurate range than game snip rifl unbalanc 00 spread pretty much depend headshot get effici kil body shot most useles no abil hide grassfoliageovergrowth hid futile except range unbalanc snip rifle zombie ai hor ridiculous predict not keep to all bullet drop need rework isnt accurate all,1
play hor disgust mes romero aftermath knew try junk came game think would horribleboy wrong game beyond hor fact word not exist could describe horridnes program spawn same area every time upon youre near instant snip some autist kid also when die wait forev rev pay re money rev manage get away can literal find weapon everywhere literal everywhere like fuck literal fuck everywhere cannot stres how often youl find weapon need weapon when can literal destroy entire army base ful zombi bare fuck hand few minut watch least 15 people get caught hack graphic disgust look like belong ps2 game fact entire game remind poor made ps2 game also notic theyre begin copy even more gam like state decay like dayz h1z1 baby threw dumpst behind walmart then state decay miscreat baby harambe di sav then two babi grew fuck that game,0
game control good play on posit feature found game map hor bor zombi kil toothpick so stupid bug around like mad map huge dead bor let count tre even multiplay game ive nev meet some oth person walk around ful gear kil stupid zombi katana meet nobody start count tre deinstal,0
dont listen bullshit review there 3 categori people 1 expect too much f2p 5 year old game 2 great exaggerate negat aspect game most no clue talk 3 suck open world shooter booho just start play game dont know map so get shot run around open like retard so game must suck can 5 character respawn tim on 3 minut p charact some retard wrote wait forev rev forev 3 minut 4 oth character standby play lol ok buddy can also rev instant 1500 game tak less than 10 minut farm zombi sever fine populat some more some less so can decide w most loot more pvp ther no lag far im concern p east coast actual stay pretty low performance real good dont listen idiot play potato i5 gtx780 pretty mediocre nowaday get minimum 70fp major citi 30 people map play mouse move smooth af none armadayz 10 year old bullshit clunky move mouse look aroundaim smoothnes responsivenes compar csgo almost 11 hour gameplay on cheater saw on get ban chat announcement nev encounter one all pvp major c loot everywhere not on mak easy gear immediate pvp also mak easy farm xp zombi said make no mistake isnt dayz sure wat food stat gotta replenish not surviv game lootershoot loot gear then kil oth player zombi easy de mere annoyanceextra lay add some tactic pvp oth player can see zombi agro so gotta decide how move around unnotic pvp sup fun can br some most intense moment any shoot can stalk 1 group player decide mo right position good take even real happen take all loot might close quart fight where gotta outplay other might see someone camp roof try flank maneuv possibiliti endles all all like 8gb f2p game lose noth try youre not complete scrub nev play open world shoot youre not impati person wil g time get us mechanic gameplay wil great time pvp especial friend,1
where start first game buggy hel freez every 530 minut nev able play more than 30 straight minut when freez charact stay act so die every single time commun ter go newb server everyone ust gang camp weapon spot camp spawn point then gun wait more gun than zombi okay then,1
lost all loot due game crash f ú c k n g happen b all time b anyone contemplat play game ask 3 question instal garbage can stand get disconnect crash straight get f ú c k e d s s answer y all then go ahead click play game,0
game just like 7 year ago unfinish fiil bug complete waste time steady stream decreas player said im part people leav game,0
new dev tak same approach old dev na server eastern canda leav anyone centr w coast u disadvantageeven some people eu better p also server very low qual laggy 90 time mak mat even worse now set aside commun one most tox on there abuse every glitch mechan whenev pos win fight review sum detail httpsteamcommunitycomidcharlieknrrecommended555570 edit feel same many updat,1
now start know game fre even fre gam play game unplay crash every half hour sometim even more even just 15 ppl serv pc pretty new not worst market remind enviro made so bad get stuck everyth bush could hide last chance surviv nope ful walk around solid sphere object ful pay win surviv mode hasnt open month also dev just mone hungry dick c make dec game without rename steam 3 tim so doesnt negat review middle chase bandit c tail 30 min final corner freeze game stop work login di zombie crash delete game,0
poor design lot bug ful loot game wil make crazy disconnect los all gear all time random disconnect pvp typic lag inventory problem const disconnect c join serv say stil play game un resurrect even though tim gone 0 wil make lot ppl crazy click rev button no effect loop bug can get occupi hour tr figure how make game work til real c noth garbage fre not real advantage situ mak angry fre not best de so would pay like 50 play then maeby worth max 2h time,0
defent recommend game ecause way like dayz easi get weapon fit pupose game tjere clan war find weapon pretty comon so not mat die battle easy get more weapon now on tj dont like ia graphic could improv massiva bit overal pvp game tjink right ammumt depth put,1
real want like game honest real fuck hard like every single sev disconnect can even ent damn game literal sat here hour try connect multiple server not one would let absolute pathet,0
honest not bad easy get money fun shoot weapon customiz even got battle royale on con zombi way easy,1
nope 1st spawn begin serv shot pk ak within two minut not get hit flashlight second spawn got dark quick manag find few abandon car anda few notsovalu item second zombie ate pro look like good game con isnt,1
t o t l s c o r e 410 first all would like say unlike major review actual went very indepth review proces game her how punch land graphic 510 can very honest say gam gfx very bad even high end pc expect low fp fp lag re problem here shouldnt take much cpu pow some user stream game gameplay stream nightmare some bug real glitchy sometim bug very bad blur screen ingame turn rainbow color ton differ all black shadow etc could list few gfx bug sound 810 gun sound real spot infact actual fun play game just fire all differ gun also when land nasty headshot feel like mil away sound mak w shoot pant some sound suck see soundtrack 010 no effort any sort soundtrack so ev guy on interest fre play pay play aspect zombie suriviv mmoso can get money gameplay 310 would recommend giv game try youre new zombie mmo w try first one new one youre expd zmmo scene 1join very low populat serv 2loot kil zombi 3 4profit point guy game there absolute noth excit beside kil zombi hope god can stumble upon few nice weapon bandgesredbandgesriot shield seebelow just die hack lose fine weapon all stupid try just loot pve im go very frank lot hardcore fan game go hate that just too bad fact fact her list thing wrong gameplay const play game just cannot deny thing make game not play major scale 1cheater cheaterscheater more gues cheat cannot join single serv whatev may pvp pvep without 50 server popul cheatingwhich real sad game some great potenti realist nature recoilspread factordamage reductionshot distance all make game real f bad especial since youre admin look cheater practical cake walk no one go land 5 headshot row 200 meter so basical eliminate lot legit cheat no so legit cheatersal fal adminsacteam need better job 2 group cheaterssinglegroup cheater group cheater wel exact sound like group 25cheater all play togeth group usual real on happen within cheat commun commun member get togeth cheat fun unsuspect noob singlegroup cheater wouldnt so bad major gamebase wasnt fil almost every single 2 man group 1 cheat lead legit play enemi wallsradar us advantage ful mak cal out legit play can rambo way gg 3 game bug item shit go hacker know ramp so why acadmin team not get fuckin rid see anticheat work on certain ext mean hand ban every couple week isnt improv guy fact mak thing worse some cheaterscheat so simple download cheat test on few updatestweak publ source bot cheat bypas gam ac now wont go detail w catch cheater stop look visual g away start actual look memory hacksetc any cheat no visual like sil aimbot triggerbot sound hack etc complete undetect ac wont ev detect ac team apparent doesnt care game im sorry seem like r love game wish staffcreator car much,0
serv alway crash disconnect problem r serv c even play more than minute disconec problem,1
play lot her conclusion dont play shit youl get just enough get hook then becom garbage 3 day her why tldr bottom pvp play 3 oth friend one pas 72 hour mark mean c acces begin server anymore why such problem wond first all game dev didnt think idea allit ridiculou very stupid assume play 0 hour play say 70 hour play should fal same category can acces offici server 1 hour play think offici server absolute garbage not on way less populat than begin server game also los mean no long open world pvp instead just serv chat fil people spam wher pvp when should everywhere right half serv popul camp pvp hotzon major citi so would rep campo any oth c oth half remain good farm spot on handful people actu open world pvp made u wand around map hour could find even single play contrast today 10 minut begin serv encounter car play one town two player anoth town heard gunshot larg town offici not single soul problem people get item begin server so dont even ne roam around offici can just go major citi shoot each oth pve practical nonexist zombi absolute no challenge whatsoev pvp aside actual just minor nuisance way loot on th even remote challeng sup zombie even can easi counter just jump few box c shit dev nerve cal game best zombie mmo game mod one few redeem qualiti game offer lot mod suit gameplay much more come game gener crash every now then also kick server lot frustrat tldr major problem what point car can on use begin server bare collect enough money buy sniper way too easy find superior any weapon riot shield abus third person view giv too much advantage pvp consist constant jump around plac riot shield quickscop aw pve absurd easy not challenge too many hacker game too unst conclusion fun start good aspect bad part dwarf all good get bor very fast all made dislike game lot dev game dev real care game would read far hear could improve health game great limit riot shield ex 1 p person given time remove some server so people forc fil remain on game wil rich player make open world pvp make map no major citi no hotspot just even distribut town acros map make begin server on beginner ex 0 5 hour play offici server wil force people roam map make zombi more challeng unpredict big threat,1
