Username (SteamID),Review
user_76561198358378223,"Game is absolute garbage.  It is amusing for a week or two...but after that you'll start to notice these flaws:

*Hackers are rampant.  The anticheat only bans a handful
*Riot shields are ridiculous and abused
*3rd person view is ridiculous and abused
*Sniper rifles are far superior to every other weapon in ANY combat situation and are abused
*Spawn points do not vary.  It is not uncommon for players to spawn on top of eachother.  It is also not uncommon for servers to be filled with spawn campers.  People literally camping a spawn point just to fuck you out of your stuff.
*The shadowing in the night-day cycle is not fluid.  The shadowing just suddenly changes.  This makes the graphics annoying.
*Bullets fired at range do almost NO damage.  The exception are sniper rifles.  For instance...I was shot in the head with an assault rifle at a pretty decent range and it took away 2% of my health.
*Going prone or crouched makes the same amount of noise as running or sprinting.  This is just plain dumb.
*Weapon spread is stupid.  A skilled marksman can make weapons such as an M4 or M16 fire much more accurately at range than they do in this game.  Sniper rifles are unbalanced by having 0.0 spread.
*You pretty much have to depend on a headshot to get an efficient kill.  Body shots are mostly useless.
*No ability to hide in grass/foliage/overgrowth.  Hiding is futile except if you are at range with an unbalanced sniper rifle
*Zombie AI is horrible.  They are ridiculously predictible and do not keep you on your toes at all.
*Bullet drop needs to be reworked.  It isn't accurate at all."
user_76561198059679523,"After playing the horrible, disgusting mess that was Romero's Aftermath, I knew I had to try this junk out. I came into this game thinking it would be horrible.....boy was I wrong.


This ""game"" is beyond horrible. In fact, words do not exist that could describe the horridness of this program.

You spawn in the same area every time. Upon which you're nearly instantly sniped by some autistic kid. Also when you die, you have to wait forever to revive or PAY REAL MONEY TO REVIVE YOURSELF. If you manage to get away, you can literally find weapons everywhere. Literally everywhere. Like fucking literally fucking everywhere. I cannot stress how often you'll find weapons. But who needs weapons when you can literally destroy an entire army base full of zombies with your bare fucking hands. In the few minutes I was on,  I watched at least 15 people get caught hacking. The graphics are disgusting and look like they belong in a PS2 game. In fact this entire game reminds me of a poorly made PS2 game.


I also noticed they're beginning to copy even more games like State of Decay.


It's like if Dayz and H1Z1 had a baby but threw it in the dumpster behind wal-mart, and then State of Decay and Miscreated had a baby but Harambe died saving it and then those two babies grew up and fucked. That's what this game is.
"
user_76561198165114946,"GAME CONTROLLING:  GOOD AND PLAYABLE - its the only positive feature i found in this game. the maps are horrible borring, the zombies are to kill with a toothpick because they are so stupid and bug around like mad. 

- the map is huge but deadly boring. lets count the trees.

- is this even a multiplayer game? i've never meet some other person.

- walked around in full gear, killed stupid zombies with katana, meet nobody, started counting trees, deinstalled.

"
user_76561198071237562,"Don't listen to bullshit reviews, there are 3 categories to those people.
1) They expect too much from a F2P 5 year old game
2) They greatly exaggerate negative aspects of this game and mostly have no clue what they are talking about
3) They suck at open world shooters, because boohoo I just started playing this game, don't know the map so I get shot running around in the open like a retard so the game must suck.

You can have 5 characters and the respawn timer is only 3 minutes PER character, some retard wrote ""you have to wait forever to revive."" Forever = 3 minutes with 4 other characters on standby to play on, lol ok buddy. You can also revive instantly for 15000 in game $ that takes less than 10 minutes to farm from zombies.

Severs are fine and populated, some more some less so you can decide if you wan't to mostly loot or have more PvP. There's no lag as far as Im concerned and my ping (east coast) actually stays pretty low. 

Performance is really good. Don't listen to idiots that play on potatoes. I have an i5 with gtx780, pretty mediocre nowadays and I get minimum 70fps in major cities with 30+ people on the map. 

Player and mouse movement is smooth AF. None of that Arma/DayZ 10 year old bullshit clunky movement. Mouse looking around/aiming smoothness and responsiveness is comparable to CS:GO.

In almost 11 hours of gameplay, only cheaters I saw were the ones getting banned in chat announcements, never encountered one and all I do is PvP in a major city.

The loot is everywhere, which not only makes it easy to gear up to immediately PvP, but it also makes it easy to farm $ and XP from zombies. 

That being said, make no mistake, this isn't DayZ. Sure you have water and food stat that you gotta replenish, but this is NOT  survival game this is a LooterShooter, you loot gear and then kill other players. Zombies are easy to deal with and are merely an annoyance/extra layer to add some tactics to PvP because other players can see zombies being agroed to you so you gotta decide how to move around unnoticed.

PvP is SUPER FUN and can bring some of the most intense moments in any shooter. You can stalk 1 or a group of players until you decide that the moment  is right and your positioning is good to take them out before they even realize what happened and take all their loot. You might have close quarter fights where you gotta outplay others or you might see someone camping on the roof and try to flank  and maneuver them, the possibilities are endless.


All in all, this is like an 8gb F2P game, you lose nothing by trying it out and if you're not a complete scrub who never played an open world shooter before or you're not an impatient person who is willing to give yourself time to get used to the mechanics and gameplay, you will have a great time PvPing especially with friends."
user_76561198116477585,"Where to start.... first, the game is buggy as hell. Freezes every 5-30 minutes, never was able to play more than 30 straight minutes. When it freezes, your character stays active, so you die. Every. Single. Time.

The community... is terrible. Go on newb servers and everyone ust gangs up on you, camps weapon spots, or camp spawn points.

Then the guns... wait what? More guns than zombies? Okay then...."
user_76561198052105300,"I lost all my loot due to a game crash which f ú c k i n g happens [b] ALL THE TIME. [/b] To anyone contemplating on playing this game ask yourself these 3 questions before installing this garbage. Can you stand getting disconnected, crashed, or straight up getting f ú c k e d in the a s s? If you answered yes to all those, then go ahead and click ""play game""."
user_76561198089138606,Game is just like it was 7 years ago. Unfinished and fiilled with bugs. Complete waste of time and has a steady stream of decreasing players. That being said I'm part of the people leaving this game.
user_76561197991066336,"New devs but taking the same approach as old devs.  NA servers are in Eastern Canda leaving anyone in Central and West coast US at a disadvantage(even some people in EU have better ping). Also these servers are very low quality and are laggy 90% of the time making the matter even worse.  Now setting that aside the community is one of the most toxic ones out there that abuse every glitch and mechanic whenever possible to win fights. 


This review sums it up in detail: http://steamcommunity.com/id/CharlieKnR/recommended/555570/

Edit:  Feel same after many updates."
user_76561198092330595,"Now before i start ... I know this game is for free but even free games have to be playable.
THIS GAME IS UNPLAYABLE , you crash every half an hour sometimes even more even with just 15 ppl in the server. (My PC is pretty new and not the worst on the market , remind you)
The enviroment is made so badly that you get stuck into everything , the bushes that you could hide in , which are your last chance of survival ? NOPE , you have to fully walk around it because its a solid sphere object. 
Full of pay to win.
Survival mode hasnt been opened for months , also the devs are just mone hungry dicks who cant make a decent game without having to rename it on steam 3 times so it doesnt have negative reviews.
In the middle of a chase after a bandit through a city , have been tailing him for 30 mins. Finally cornered him! *Freeze , game has stopped working* , Login ... Died by zombie while was crashing.... DELETE GAME"
user_76561198015999265,"Poorly designed with a lot of bugs. Full loot game that will make you crazy, being disconnected and losing all gear all the time. Random disconnects during PvP are typical. Lags and inventory problems are constant. After disconnect you cant join server as it says that you still play the game. Unable to resurrect even though timer gone to 0 will make a lot of ppl crazy clicking revive button with no effect. A loop of bugs that can get you occupied for hours tring to figure out how to make this game work till you realize you cant do nothing as its garbage. Its free but is not really an advantage in this situation as ""making you angry for free is not the best deal"". So if they would pay like 50$ to play this then maeby it worth max 2h of your time."
